,track_uri,artist_uri,genres
7,5dyQPiTnzyGfn1kSrjRrFG,3BroLrMp9Q01yOnhLn9qxX,polish pop
8,6oqE5HZTxDv6HjdrtA21g3,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
8,6oqE5HZTxDv6HjdrtA21g3,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
8,6oqE5HZTxDv6HjdrtA21g3,3BroLrMp9Q01yOnhLn9qxX,polish pop
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,dance pop
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,disco house
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,dutch house
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,edm
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,electro house
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,house
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,pop dance
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,progressive electro house
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,progressive house
9,4qqAZNu0OMXYMm2wfTpEjM,7dc6hUwyuIhrZdh80eaCEE,tropical house
10,3YWH7tAM6zcoWRcnEhPQh5,1IkBueQ4oNST1KRDRo2DpZ,
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,bmore
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,dance pop
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,edm
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,electro house
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,house
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,moombahton
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,ninja
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,pop
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,pop dance
11,4806eVYbm7qkWBT02VvJBr,5fMUXHkw8R8eOP2RNVYEZX,tropical house
