,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
7252,2021-09-02 06:10,Noizu,Summer 91 (Looking Back) - 220 KID Remix,172344,Noizu:Summer 91 (Looking Back) - 220 KID Remix,0,,
7253,2021-09-02 06:14,Paul Woolford,Looking for Me,210917,Paul Woolford:Looking for Me,0,,
7254,2021-09-02 06:17,MK,Chemical,161923,MK:Chemical,0,,
7255,2021-09-02 06:20,David Guetta,Impossible (feat. John Martin),187985,David Guetta:Impossible (feat. John Martin),0,,
7256,2021-09-02 06:23,BLR,Revelation,216397,BLR:Revelation,0,,
7257,2021-09-02 06:27,Gorgon City,Go Slow (with Kaskade),218166,Gorgon City:Go Slow (with Kaskade),0,,
7258,2021-09-02 06:30,Mark Knight,If It's Love,164855,Mark Knight:If It's Love,0,,
7259,2021-09-02 06:34,Major Lazer,Jah No Partial,252218,Major Lazer:Jah No Partial,0,,
7260,2021-09-02 06:37,Tiësto,The Business,163567,Tiësto:The Business,0,,
7261,2021-09-02 06:40,Kygo,Love Me Now (feat. Zoe Wees),195405,Kygo:Love Me Now (feat. Zoe Wees),0,,
7262,2021-09-02 06:43,David Guetta,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,210489,David Guetta:Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,0,,
7263,2021-09-02 06:46,Major Lazer,Bruk Out,174145,Major Lazer:Bruk Out,0,,
7264,2021-09-02 06:49,Nicky Romero,You Used To,174296,Nicky Romero:You Used To,0,,
7265,2021-09-02 06:52,Breach,Everything You Never Had (We Had It All) [feat. Andreya Triana],173691,Breach:Everything You Never Had (We Had It All) [feat. Andreya Triana],0,,
7266,2021-09-02 06:55,Icona Pop,Off Of My Mind,164341,Icona Pop:Off Of My Mind,0,,
7267,2021-09-02 06:57,Mabel,Let Them Know,148294,Mabel:Let Them Know,0,,
7268,2021-09-02 07:01,Gorgon City,Go All Night,199892,Gorgon City:Go All Night,0,,
7269,2021-09-02 07:04,Trance Wax,Lifeline,186580,Trance Wax:Lifeline,0,,
7270,2021-09-02 07:07,Modestep,Forever,213025,Modestep:Forever,0,,
7271,2021-09-02 07:12,Major Lazer,Get Free - What So Not Remix,297694,Major Lazer:Get Free - What So Not Remix,0,,
7272,2021-09-02 07:16,Dabin,Holding On - yetep Remix,191819,Dabin:Holding On - yetep Remix,0,,
7273,2021-09-02 07:18,Shouse,Love Tonight - David Guetta Remix Edit,157744,Shouse:Love Tonight - David Guetta Remix Edit,0,,
7274,2021-09-02 07:21,Major Lazer,C'est Cuit (feat. Aya Nakamura & Swae Lee) - Major Lazer VIP Remix,137325,Major Lazer:C'est Cuit (feat. Aya Nakamura & Swae Lee) - Major Lazer VIP Remix,0,,
7275,2021-09-02 07:23,Tiësto,Acordeão,130871,Tiësto:Acordeão,0,,
7276,2021-09-02 07:26,David Guetta,If You Really Love Me (How Will I Know),183910,David Guetta:If You Really Love Me (How Will I Know),0,,
7277,2021-09-02 07:29,Gorgon City,Elevate,221225,Gorgon City:Elevate,0,,
7278,2021-09-02 07:32,Major Lazer,Que Calor,169500,Major Lazer:Que Calor,0,,
7279,2021-09-02 07:35,Moodshift,What About My Love,164720,Moodshift:What About My Love,0,,
7280,2021-09-02 07:40,Gorgon City,Tell Me It’s True,292938,Gorgon City:Tell Me It’s True,0,,
7281,2021-09-02 07:43,Timmy Trumpet,Stay Mine,177561,Timmy Trumpet:Stay Mine,0,,
7282,2021-09-02 07:46,LUM!X,Monster,153794,LUM!X:Monster,0,,
7283,2021-09-02 07:48,Gabry Ponte,Thunder,159604,Gabry Ponte:Thunder,0,,
7284,2021-09-02 07:51,Brando,Yes or No,175102,Brando:Yes or No,0,,
7285,2021-09-02 07:54,Sonny Fodera,Closer (feat. Lilly Ahlberg),169463,Sonny Fodera:Closer (feat. Lilly Ahlberg),0,,
7286,2021-09-02 07:56,Jude & Frank,La Luna,142654,Jude & Frank:La Luna,0,,
7287,2021-09-02 08:01,Major Lazer,Original Don - The Partysquad & Punish Smash Em Remix,250141,Major Lazer:Original Don - The Partysquad & Punish Smash Em Remix,0,,
7288,2021-09-02 08:04,Gryffin,New Blood (with Boy Matthews),229871,Gryffin:New Blood (with Boy Matthews),0,,
7289,2021-09-02 08:08,Rudimental,Let Me Live (feat. Anne-Marie & Mr Eazi),205225,Rudimental:Let Me Live (feat. Anne-Marie & Mr Eazi),0,,
7290,2021-09-02 08:14,Disclosure,Ce n'est pas,353928,Disclosure:Ce n'est pas,0,,
7291,2021-09-02 08:17,Duke Dumont,Real Life,205276,Duke Dumont:Real Life,0,,
7292,2021-09-02 08:20,Afro Bros,So Much Love (feat. Charly Black & Stevie Appleton),150708,Afro Bros:So Much Love (feat. Charly Black & Stevie Appleton),0,,
7293,2021-09-02 11:34,Major Lazer,Lose Yourself (feat. RDX & Moska),196338,Major Lazer:Lose Yourself (feat. RDX & Moska),0,,
7294,2021-09-02 11:38,David Zowie,House Every Weekend - Radio Edit,182239,David Zowie:House Every Weekend - Radio Edit,0,,
7295,2021-09-02 11:41,Sam Feldt,The Riddle (feat. Lateshift),186994,Sam Feldt:The Riddle (feat. Lateshift),0,,
7296,2021-09-02 11:44,Gorgon City,You've Done Enough,212911,Gorgon City:You've Done Enough,0,,
7297,2021-09-02 11:47,Skallee & Wagz,Same Page - Anto & Lyle M Radio Edit,192614,Skallee & Wagz:Same Page - Anto & Lyle M Radio Edit,0,,
7298,2021-09-02 11:50,Alan Walker,Sweet Dreams,138427,Alan Walker:Sweet Dreams,0,,
7299,2021-09-02 11:54,Ape Drums,The Way We Do This (feat. Major Lazer & Busy Signal),230506,Ape Drums:The Way We Do This (feat. Major Lazer & Busy Signal),0,,
7300,2021-09-02 11:57,Hardwell,Off The Hook,176528,Hardwell:Off The Hook,0,,
7301,2021-09-02 12:00,Burak Yeter,My Life Is Going On - Burak Yeter Remix,225653,Burak Yeter:My Life Is Going On - Burak Yeter Remix,0,,
7302,2021-09-02 12:03,Noizu,Summer 91 (Looking Back) - 220 KID Remix,172391,Noizu:Summer 91 (Looking Back) - 220 KID Remix,0,,
7303,2021-09-02 12:07,Paul Woolford,Looking for Me,210935,Paul Woolford:Looking for Me,0,,
7304,2021-09-02 12:09,MK,Chemical,161870,MK:Chemical,0,,
7305,2021-09-02 12:13,David Guetta,Impossible (feat. John Martin),188009,David Guetta:Impossible (feat. John Martin),0,,
7306,2021-09-02 12:15,BLR,Revelation,99653,BLR:Revelation,0,,
7307,2021-09-03 07:12,Major Lazer,Pon De Floor,213717,Major Lazer:Pon De Floor,0,,
7308,2021-09-03 07:15,SLATIN,Good Idea,198245,SLATIN:Good Idea,0,,
7309,2021-09-03 07:18,blackbear,alone in a room full of people,154390,blackbear:alone in a room full of people,0,,
